TrackID,AID,Deals,TotalSales,Score,UserRating,DealsLeft
10001,1000000002,16,530848,34,0.9,12
10002,1000000006,2,112246,27,4.4,12
10003,1000000014,20,227000,49,0.8,2
10004,1000000016,2,26480,79,4.7,6
10005,1000000018,16,1529616,12,4.7,3
10006,1000000019,8,395792,23,1,4
10007,1000000021,20,246900,67,3.9,6
10008,1000000023,14,1346716,87,4.7,1
10009,1000000025,12,146304,4,4.3,3
10010,1000000028,8,555528,44,1.1,4
10011,1000000029,6,326052,35,1.4,15
10012,1000000030,12,250644,64,2.4,0
10013,1000000031,5,119890,96,2.2,15
10014,1000000032,3,147222,72,1.6,10
10015,1000000033,15,1472970,77,4.1,9
10016,1000000035,1,73804,38,3.2,3
10017,1000000037,9,864684,69,2.4,7
10018,1000000042,2,50736,35,0.7,0
10019,1000000044,5,308915,4,2,3
10020,1000000045,14,265454,94,0.2,0
10021,1000000046,3,222558,20,0.7,10
10022,1000000048,10,814070,30,4.8,13
10023,1000000049,19,1417704,64,4,8
10024,1000000050,19,702392,67,2.1,0
